"field","options_fingerprint","key","choice","rules_version","first_seen"
"subsector type","7-736603905","training | training provided by ucasn or oxfam in marketing","cross cutting","","2026-09-14"
"subsector type","7-736603905","training/health | training provided by ucasn or oxfam in hiv/sida","cross cutting","","2026-09-14"
"subsector type","7-736603905","gender; governance | presence of women as elected leaders in associations (surveyed)","cross cutting","","2026-09-14"
"subsector type","7-736603905","finance | associations with an operations fund (association finance)","cross cutting","","2026-09-14"
"subsector type","7-736603905","banking/finance | associations with bank accounts (surveyed)","cross cutting","","2026-09-14"
"subsector type","7-736603905","microfinance; savings | xitique (mutual trust lending) practiced by mirreia ii association","cross cutting","","2026-09-14"
"subsector type","7-736603905","extension/technical assistance | evidence of a dynamic extension process at the association level","cross cutting","","2026-09-14"
"subsector type","7-736603905","extension/technical assistance | evidence of a dynamic extension process at the association level (maúa town)","cross cutting","","2026-09-14"
"subsector type","7-736603905","""training and information to enhance the ipm capacity"" | ""help to enhance the response capacity of the lcbc regional school in ngala (nigeria) by providing equipment, teaching materials and training courses on ipm techniques.""","farming system-crop","","2026-09-14"
"subsector type","7-736603905","""research/development to establish a technology transfer system based on the use of integrated pest management (ipm)"" | ""the coordination unit was able to ensure the full participation of agricultural research institutions ... irad in cameroon""","farming system-crop","","2026-09-14"
"subsector type","7-736603905","""research/development to establish a technology transfer system based on the use of integrated pest management (ipm)"" | ""the coordination unit was able to ensure the full participation of agricultural research institutions ... inran in niger""","farming system-crop","","2026-09-14"
"subsector type","7-736603905","""research/development to establish a technology transfer system based on the use of integrated pest management (ipm)"" | ""the coordination unit was able to ensure the full participation of agricultural research institutions ... itrad in chad""","farming system-crop","","2026-09-14"
"subsector type","7-736603905","""research/development to establish a technology transfer system based on the use of integrated pest management (ipm)"" | ""the coordination unit was able to ensure the full participation of agricultural research institutions ... the university of maiduguri in nigeria""","farming system-crop","","2026-09-14"
"subsector type","7-736603905","""farmer field school"" | ""the farmers of one of the pilot villages, -mandjafa in chad - raised the problem of full-scale implementation of ipm techniques in their fields.""","farming system-crop","","2026-09-14"
"subsector type","7-736603905","""use of neem-based botanical insecticides"" | ""the use of neem-based botanical insecticide (powder, aqueous extracts and oil) is now common among pilot farmers""","farming system-crop","","2026-09-14"
"subsector type","7-736603905","""use of neem-based botanical insecticides"" | ""in a sample of 13 villages visited, including three non-pilot villages, only the farmers of two pilot villages and one non-pilot village believe that neem is less effective""","farming system-crop","","2026-09-14"
"subsector type","7-736603905","financial education and insurance product upscaling interventions | financial education and insurance product upscaling interventions","cross cutting","","2026-09-14"
"subsector type","7-736603905","agricultural insurance | upscale existing products and launch financial literacy campaigns, thereby adopting a blended approach","cross cutting","","2026-09-14"
"subsector type","7-736603905","agricultural insurance | insurance products","cross cutting","","2026-09-14"
"subsector type","7-736603905","agricultural insurance | agricultural insurance programs","cross cutting","","2026-09-14"
"subsector type","7-736603905","value-chain development and private sector grants | matching grants scheme (mps) to support individual family applicants and commercial enterprises","agri-food","","2026-09-14"
"subsector type","7-736603905","post-harvest infrastructure (market) | construction of a fish market","farming system-fish","","2026-09-14"
"subsector type","7-736603905","extension services infrastructure | construction of extension agent house and office","cross cutting","","2026-09-14"
"subsector type","7-736603905","community finance (pcr) and ccps | establishment/revitalization of pcr associations and support to ccps","cross cutting","","2026-09-14"
"subsector type","7-736603905","community finance (pcr) and ccps | establishment/revitalization of pcr associations and support to ccps; ccps signing co-management agreements","cross cutting","","2026-09-14"
"subsector type","7-736603905","co-management (ccps) | support to ccps and signing of co-management agreements with districts","cross cutting","","2026-09-14"
"subsector type","7-736603905","pcr participation (district-level) | pcr associations established/revitalized in district","cross cutting","","2026-09-14"
"subsector type","7-736603905","community and institutional capacity building | training of government agencies’ staff and community members","cross cutting","","2026-09-14"
"subsector type","7-736603905","community activities (mozambique) | support to ccps and community meetings","cross cutting","","2026-09-14"
"subsector type","7-736603905","extension infrastructure (mozambique) | extension agent house and office constructed (see above)","cross cutting","","2026-09-14"
"subsector type","7-736603905","community activities (mozambique) | support to ccps and pcr participants in province","cross cutting","","2026-09-14"
"subsector type","7-736603905","vessel registration and licensing; mcs | vessel registration and licensing, inspections, vessel monitoring center and themis web ais system (dsfa), mcs investments and training","farming system-fish","","2026-09-14"
"subsector type","7-736603905","community-based co-management and cfma development | support to bmus, development of cfma management plans, training, joint patrols, and revenue/licensing fee collection training","farming system-fish","","2026-09-14"
"subsector type","7-736603905","community-based co-management and cfma development | support to bmus and cfma management plan development and training","farming system-fish","","2026-09-14"
"subsector type","7-736603905","co-management and livelihood support | support to bmus and alternative livelihood and vsl schemes","farming system-fish","","2026-09-14"
"subsector type","7-736603905","octopus management and seasonal closure | implementation of octopus seasonal closures as per octopus management plan","farming system-fish","","2026-09-14"
"subsector type","7-736603905","co-management and bmu support | support to bmus and co-management committees and patrols","farming system-fish","","2026-09-14"
"subsector type","7-736603905","prawn seasonal closure implementation | prawn seasonal closures implementation in line with prawn management plan","farming system-fish","","2026-09-14"
"subsector type","7-736603905","octopus seasonal closure implementation | implementation of octopus seasonal closure","farming system-fish","","2026-09-14"
"subsector type","7-736603905","bmu office infrastructure | construction of bmu office in dunda (mbarali district)","farming system-fish","","2026-09-14"
"subsector type","7-736603905","bmu office infrastructure | construction of bmu office in kipumbwi (pangani district)","farming system-fish","","2026-09-14"
"subsector type","7-736603905","bmu office infrastructure | construction of bmu office in saadani (pangani district)","farming system-fish","","2026-09-14"
"subsector type","7-736603905","bmu office infrastructure | construction of bmu office in sudi (lindi region)","farming system-fish","","2026-09-14"
"subsector type","7-736603905","bmu office infrastructure | construction of bmu office in zingibari (tanga region)","farming system-fish","","2026-09-14"
"subsector type","7-736603905","staff accommodation/infrastructure | staff accommodation constructed for park staff","land use","","2026-09-14"
"subsector type","7-736603905","cold chain infrastructure | supply and commissioning of cold rooms at malindi landing site","farming system-fish","","2026-09-14"
"subsector type","7-736603905","eez mcs infrastructure (boat ramp) | construction of dsfa boat ramp and slipway (fumba)","farming system-fish","","2026-09-14"
"subsector type","7-736603905","ranger surveillance post/field office | construction/refurbishment of ranger surveillance posts/field offices in unguja/pemba","land use","","2026-09-14"
"subsector type","7-736603905","ranger surveillance post/field office | construction/refurbishment of ranger surveillance posts/field offices","land use","","2026-09-14"
"subsector type","7-736603905","ranger surveillance post/field office | construction of new ranger surveillance post and field office in pungume island","land use","","2026-09-14"
"subsector type","7-736603905","ranger surveillance post/field office | refurbishment of ranger surveillance post/field office","land use","","2026-09-14"
"subsector type","7-736603905","ranger surveillance post/field office | construction/refurbishment of ranger surveillance posts/field offices in pemba","land use","","2026-09-14"
"subsector type","7-736603905","administration building refurbishment | refurbishment of mbef administration building (nyangumi house) with facilities and library/archive","land use","","2026-09-14"
"subsector type","7-736603905","bmu infrastructure (dunda) | construction of bmu office in dunda (see above)","farming system-fish","","2026-09-14"
"subsector type","7-736603905","marine conservation area management, mariculture and seaweed value chains | mcas general management plans developed; seaweed processing support including barges and training; octopus closures implemented; sea cucumber training","farming system-fish","","2026-09-14"
"subsector type","7-736603905","marine conservation area management, seaweed and sea cucumber value chains | mcas general management plans; sea cucumber pens and training; seaweed barges and training","farming system-fish","","2026-09-14"
"subsector type","7-736603905","research infrastructure | constructed an administration office and warehouse at bvumbwe","NOT STATED","","2026-09-14"
"subsector type","7-736603905","research infrastructure; irrigation | constructed a new administration office, conference room and library at kasinthula; rehabilitated irrigation infrastructure","farming system-crop","","2026-09-14"
"subsector type","7-736603905","irrigation/irrigation systems | one of three irrigation systems rehabilitated (chókwe, umbelúzi and ribaué)","farming system-crop","","2026-09-14"
"subsector type","7-736603905","soil laboratory/soil testing | rehabilitated soil laboratory at mt makulu research station","land use","","2026-09-14"
"subsector type","7-736603905","research site safety | fenced the reservoir and erected warning signs; community sensitization on risks","NOT STATED","","2026-09-14"
"subsector type","7-736603905","research station rehabilitation | minor rehabilitations at research stations including mt makulu","NOT STATED","","2026-09-14"
"subsector type","7-736603905","irrigation; laboratory | constructed irrigation system; rehabilitated soil laboratory; rehabilitated road to gravel standard","farming system-crop","","2026-09-14"
"subsector type","7-736603905","research station minor rehabilitations | minor rehabilitations at multiple research stations","NOT STATED","","2026-09-14"
"subsector type","7-736603905","research infrastructure; entomology lab; irrigation | rehabilitated offices, warehouse, threshing-floor and entomology laboratory; irrigation system rehabilitation (joint)","farming system-crop","","2026-09-14"
"subsector type","7-736603905","research infrastructure; entomology laboratory | rehabilitated 1 administrative block and 1 entomology laboratory at nampula","farming system-crop","","2026-09-14"
"subsector type","7-736603905","research infrastructure/housing | rehabilitated houses, outbuildings, warehouses and office buildings","NOT STATED","","2026-09-14"
"subsector type","7-736603905","research infrastructure/housing | rehabilitated 1 house at nametil","NOT STATED","","2026-09-14"
"subsector type","7-736603905","irrigation | one of three irrigation systems rehabilitated (chókwe, umbelúzi and ribaué)","farming system-crop","","2026-09-14"
"target_beneficiary","24-407073859","15 countries received support on their slwm country strategic investment framework (csif) including uganda, madagascar, ghana, gambia, mali, kenya, niger, senegal, drc, burkina faso, cote d’ivoire, nigeria, malawi, togo and lesotho.","CANDIDATE: countries","","2026-09-14"
"target_beneficiary","24-407073859","5 week-long restoration opportunities assessment methodologies (roam) workshops held in cote d’ivoire, kenya, malawi, niger and uganda in 2017 and 2018 in partnership with iucn.","NOT STATED","","2026-09-14"
"target_beneficiary","24-407073859","country project and national program teams","CANDIDATE: country project and national program teams","","2026-09-14"
"target_beneficiary","24-407073859","attended by 17 member countries","CANDIDATE: countries","","2026-09-14"
"target_beneficiary","24-407073859","national stakeholders including csos, sectoral representatives, and donors","CANDIDATE: national stakeholders","","2026-09-14"
"target_beneficiary","24-407073859","countries supported through joint fact-finding and planning missions","CANDIDATE: countries","","2026-09-14"
"target_beneficiary","24-407073859","ethiopia benefitted from dedicated ta trust funds","CANDIDATE: country","","2026-09-14"
"target_beneficiary","24-407073859","mozambique benefitted from dedicated ta trust funds","CANDIDATE: country","","2026-09-14"
"target_beneficiary","24-407073859","the secretariat was transferred later in 2009 to nepad’s secretariat, located near johannesburg, south africa","NOT STATED","","2026-09-14"
"target_beneficiary","24-407073859","benefited over 63,500 individuals","CANDIDATE: individuals","","2026-09-14"
"target_beneficiary","24-407073859","15,106 beneficiaries reached","CANDIDATE: individuals","","2026-09-14"
"target_beneficiary","24-407073859","aligned partners around sustainability guidelines","CANDIDATE: partners","","2026-09-14"
"target_beneficiary","24-407073859","""all 28 associations interviewed indicated that the key benefit of having an association was the opportunity to receive seeds, goats, and other inputs from ogb.""","farmer association","","2026-09-14"
"target_beneficiary","24-407073859","""only 43% of the groups interviewed stated that oxfam technicians provide training & technical assistance.""","CANDIDATE: groups","","2026-09-14"
"target_beneficiary","24-407073859","""number associations association legally recognized 1""","farmer association","","2026-09-14"
"target_beneficiary","24-407073859","""what are the processing activities? making traditional alcoholic drinks""","NOT STATED","","2026-09-14"
"target_beneficiary","24-407073859","""ikuro soybeans 2""","NOT STATED","","2026-09-14"
"target_beneficiary","24-407073859","""j.f.s tobacco 2""","NOT STATED","","2026-09-14"
"target_beneficiary","24-407073859","""m.l.t tobacco 3""","NOT STATED","","2026-09-14"
"target_beneficiary","24-407073859","""devolt sunflower 1""","NOT STATED","","2026-09-14"
"target_beneficiary","24-407073859","""ucasn sesame 1""","NOT STATED","","2026-09-14"
"target_beneficiary","24-407073859","""world relief paprika 1""","NOT STATED","","2026-09-14"
"target_beneficiary","24-407073859","""trainers and farmers who are the primary beneficiaries.""","CANDIDATE: trainers and farmers","","2026-09-14"
"target_beneficiary","24-407073859","small-scale farmers","smallholder farmer","","2026-09-14"
"target_beneficiary","24-407073859","farmers","smallholder farmer","","2026-09-14"
"target_beneficiary","24-407073859","2,104 of 3,000 vessels registered","artisanal fisher","","2026-09-14"
"target_beneficiary","24-407073859","a fisheries monitoring center was built, equipped, and made functional","artisanal fisher","","2026-09-14"
"target_beneficiary","24-407073859","756 vessels inspected","artisanal fisher","","2026-09-14"
"target_beneficiary","24-407073859","2,134 value-chain operators benefitting from training and equipment","agribusiness","","2026-09-14"
"target_beneficiary","24-407073859","management plans for demersal line fisheries, coastal shrimp, and deep-sea crustaceans implemented","NOT STATED","","2026-09-14"
"target_beneficiary","24-407073859","695 land patrol days; 297 coastal patrol days","NOT STATED","","2026-09-14"
"target_beneficiary","24-407073859","dashboard in place and made public with regularly updated data","NOT STATED","","2026-09-14"
"target_beneficiary","24-407073859","1,217 recipients from mps (1,213 individual family applicants, 4 commercial enterprises)","CANDIDATE: individual family applicants and commercial enterprises","","2026-09-14"
"target_beneficiary","24-407073859","3,449 pcr participants in nampula province","NOT STATED","","2026-09-14"
"target_beneficiary","24-407073859","8,498 pcr participants in zambezia province","NOT STATED","","2026-09-14"
"target_beneficiary","24-407073859","5,599 pcr participants in sofala province; 43 ccps achieved performance targets in sofala bank","NOT STATED","","2026-09-14"
"target_beneficiary","24-407073859","43 ccps achieved performance targets (of 62 supported in sofala bank)","CANDIDATE: CCPs","","2026-09-14"
"target_beneficiary","24-407073859","31,068 government staff trained (mozambique total)","CANDIDATE: government staff","","2026-09-14"
"target_beneficiary","24-407073859","tanzania: fisheries management plans (fmp) consulted, approved and implemented: 7","NOT STATED","","2026-09-14"
"target_beneficiary","24-407073859","5,547 vessels licensed (58% of 9,563 registered) in mainland tanzania","artisanal fisher","","2026-09-14"
"target_beneficiary","24-407073859","42 percent non-licensed in mainland tanzania (4,016 of 9,563 vessels)","artisanal fisher","","2026-09-14"
"target_beneficiary","24-407073859","all 99 vfcs in three mcas achieved at least two performance targets","CANDIDATE: VFCs","","2026-09-14"
"target_beneficiary","24-407073859","direct beneficiaries 2,338,654","CANDIDATE: individuals","","2026-09-14"
"target_beneficiary","24-407073859","direct beneficiaries 1,000,000","CANDIDATE: individuals","","2026-09-14"
"target_beneficiary","24-407073859","direct beneficiaries 1,274,292","CANDIDATE: individuals","","2026-09-14"
"target_beneficiary","24-407073859","farmers, livestock producers, and other potential end-users of the improved technology and knowledge generated and/or disseminated by the program","producer","","2026-09-14"
"target_beneficiary","24-407073859","rcol soil scientists and farmers (improved soil testing services)","smallholder farmer","","2026-09-14"
"target_beneficiary","24-407073859","farmers and research staff using post-harvest facilities","smallholder farmer","","2026-09-14"
"target_beneficiary","24-407073859","farmers receiving seed; lead farmers","smallholder farmer","","2026-09-14"
"target_beneficiary","24-407073859","farmers using drying equipment","smallholder farmer","","2026-09-14"
"target_beneficiary","24-407073859","farmers and researchers","smallholder farmer","","2026-09-14"
"target_beneficiary","24-407073859","researchers and farmers relying on entomology services","smallholder farmer","","2026-09-14"
"target_beneficiary","24-407073859","project staff and trainees housed at the station","CANDIDATE: project staff and trainees","","2026-09-14"
"target_beneficiary","24-407073859","farmers using irrigation","smallholder farmer","","2026-09-14"
"target_beneficiary","24-407073859","farmers (adopters of improved varieties)","smallholder farmer","","2026-09-14"
"target_beneficiary","24-407073859","trained 200 lead farmers who trained and supported 18,230 follower farmers","smallholder farmer","","2026-09-14"
"target_beneficiary","24-407073859","producers affected by land acquisition (116 producers affected)","producer","","2026-09-14"
"result_level","5-713819355","received support on their slwm country strategic investment framework (csif) | 1 countries supported in their slm country investment framework development, implementation, or update","output","","2026-09-14"
"result_level","5-713819355","received support on their slwm country strategic investment framework (csif); launch of kenya’s csif supported | 1 countries supported in their slm country investment framework development, implementation, or update / launches supported","output","","2026-09-14"
"result_level","5-713819355","received support on their slwm country strategic investment framework (csif); roam workshop held | 1 countries supported in their slm country investment framework development, implementation, or update / roam workshops held","process","","2026-09-14"
"result_level","5-713819355","received support on their slwm country strategic investment framework (csif); csif validation and platform launch supported | 1 countries supported in their slm country investment framework development, implementation, or update / validation workshops supported","process","","2026-09-14"
"result_level","5-713819355","documentary on slm best practices produced; csif support received | 1 documentary produced / countries supported in their slm country investment framework development, implementation, or update","output","","2026-09-14"
"result_level","5-713819355","roam workshop held; slwm platform launch supported | 1 roam workshops held / slwm platform launches supported","process","","2026-09-14"
"result_level","5-713819355","roam workshop held; country visits undertaken for knowledge products | 1 roam workshops held / country visits undertaken","process","","2026-09-14"
"result_level","5-713819355","received support on their slwm country strategic investment framework (csif); slm platform launch/validation supported | 1 countries supported in their slm country investment framework development, implementation, or update / platform launches supported","process","","2026-09-14"
"result_level","5-713819355","received support on their slwm country strategic investment framework (csif); attended landscape workshop in maseru | 1 countries supported in their slm country investment framework development, implementation, or update / learning workshops held","process","","2026-09-14"
"result_level","5-713819355","roam workshops held in these countries in 2017 and 2018 in partnership with iucn | 1 roam workshops held","process","","2026-09-14"
"result_level","5-713819355","ilm training held, attended by 17 member countries | 17 member countries attended","output","","2026-09-14"
"result_level","5-713819355","financing slwm workshop held | 1 workshops held","process","","2026-09-14"
"result_level","5-713819355","csif learning workshop held | 1 learning workshops held","process","","2026-09-14"
"result_level","5-713819355","regional km and m&e workshop held | 1 workshops held","process","","2026-09-14"
"result_level","5-713819355","slm platform launch supported | 1 slm platform launches supported","output","","2026-09-14"
"result_level","5-713819355","country visit undertaken for knowledge products | 1 country visits undertaken","process","","2026-09-14"
"result_level","5-713819355","landscape approach workshop held | 1 learning workshops held","process","","2026-09-14"
"result_level","5-713819355","secretariat relocated and hosted by nepad agency |","output","","2026-09-14"
"result_level","5-713819355","15,861 hectares under sustainable land and water management practices (slwm) | 15861 hectares under sustainable land and water management practices","output","","2026-09-14"
"result_level","5-713819355","63,500 individuals benefited | 63500 individuals benefited","output","","2026-09-14"
"result_level","5-713819355","600,995 hectares under cremas | 600995 hectares under cremas","output","","2026-09-14"
"result_level","5-713819355","presence of the shea processing facility has contributed to increased pressure on access to wild shea nuts |","outcome","","2026-09-14"
"result_level","5-713819355","9,289 hectares protected and managed (conservation areas) | 9289 hectares of protected and managed conservation areas","output","","2026-09-14"
"result_level","5-713819355","7,583 hectares under sustainable agricultural practices | 7583 hectares under sustainable agricultural practices","output","","2026-09-14"
"result_level","5-713819355","1,099,647 tco2e avoided | 1099647 tco2e avoided","impact","","2026-09-14"
"result_level","5-713819355","in liberia, smallholder palm oil producers adopted more sustainable practices |","outcome","","2026-09-14"
"result_level","5-713819355","ggp support for the national oil palm platform (noppol) aligned partners around sustainability guidelines that followed the global roundtable on sustainable palm oil |","outcome","","2026-09-14"
"result_level","5-713819355","modest progress was made in cold chain and market access improvements in cabo verde | cold chain and market access improvements","outcome","","2026-09-14"
"result_level","5-713819355","number of associations that received seed and other inputs | 28 associations receiving seed and other inputs","output","","2026-09-14"
"result_level","5-713819355","number of associations reporting training & technical assistance from oxfam | 12 associations reporting training & technical assistance","output","","2026-09-14"
"result_level","5-713819355","number of surveyed associations legally recognized | 1 associations legally recognized","outcome","","2026-09-14"
"result_level","5-713819355","number of surveyed associations with land legalized | 0 associations with land legalized","outcome","","2026-09-14"
"result_level","5-713819355","number of associations with a written production plan | 0 associations with written production plan","output","","2026-09-14"
"result_level","5-713819355","number of associations carrying out processing activities | 1 associations carrying out processing activities","output","","2026-09-14"
"result_level","5-713819355","number of associations with 'excellent' road access | 2 associations with 'excellent' access roads","output","","2026-09-14"
"result_level","5-713819355","number of associations with 'reasonable' road access | 23 associations with 'reasonable' access roads","output","","2026-09-14"
"result_level","5-713819355","number of associations with 'poor' road access | 3 associations with 'poor' access roads","output","","2026-09-14"
"result_level","5-713819355","number of associations carrying out group sales | 15 associations carrying out group sales","output","","2026-09-14"
"result_level","5-713819355","number of associations that ever had a production contract with a buyer | 11 associations with production contracts","output","","2026-09-14"
"result_level","5-713819355","number of associations contracted to produce soybeans for ikuro | 2 associations contracted to ikuro for soybeans","output","","2026-09-14"
"result_level","5-713819355","number of associations contracted to produce tobacco for j.f.s | 2 associations contracted to j.f.s for tobacco","output","","2026-09-14"
"result_level","5-713819355","number of associations contracted to produce tobacco for m.l.t | 3 associations contracted to m.l.t for tobacco","output","","2026-09-14"
"result_level","5-713819355","number of associations contracted to produce sunflower for devolt | 1 associations contracted to devolt for sunflower","output","","2026-09-14"
"result_level","5-713819355","number of associations contracted to produce sesame for ucasn | 1 associations contracted to ucasn for sesame","output","","2026-09-14"
"result_level","5-713819355","number of associations contracted to produce paprika for world relief | 1 associations contracted to world relief for paprika","output","","2026-09-14"
"result_level","5-713819355","number of associations with a collection point | 6 associations with a collection point","output","","2026-09-14"
"result_level","5-713819355","number of associations with a warehouse | 6 associations with a warehouse","output","","2026-09-14"
"result_level","5-713819355","number of associations with a seed bank | 5 associations with a seed bank","output","","2026-09-14"
"result_level","5-713819355","number of associations that received business plan / business development training | 5 associations receiving business plan training","output","","2026-09-14"
"result_level","5-713819355","number of associations that received marketing training | 7 associations receiving marketing training","output","","2026-09-14"
"result_level","5-713819355","number of associations that received hiv/sida training | 13 associations receiving hiv/sida training","output","","2026-09-14"
"result_level","5-713819355","number of associations that learned to grow maize (new) | 14 associations reporting learning to grow maize","outcome","","2026-09-14"
"result_level","5-713819355","number of associations with women elected as leaders | 19 associations with women elected as leaders","outcome","","2026-09-14"
"result_level","5-713819355","number of associations that have an operations fund | 7 associations with operations fund","output","","2026-09-14"
"result_level","5-713819355","number of associations with a bank account | 0 associations with bank account","output","","2026-09-14"
"result_level","5-713819355","number of xitique groups operating in mirreia ii | 3 xitique groups","output","","2026-09-14"
"result_level","5-713819355","""through the application of ipm techniques, nearly ten thousand (10 000) farm managers (compared to one thousand envisaged at project start-up) were able to increase their yields of subsistence crops"" | 10000 farm managers","outcome","","2026-09-14"
"result_level","5-713819355","""yields 2003 (kg/ha) ipm plot 3726"" | 3726 kg/ha","outcome","","2026-09-14"
"result_level","5-713819355","""yields 2003 (kg/ha) ipm plot 945"" | 945 kg/ha","outcome","","2026-09-14"
"result_level","5-713819355","""yields 2003 (kg/ha) ipm plot 1137"" | 1137 kg/ha","outcome","","2026-09-14"
"result_level","5-713819355","""yields 2003 (kg/ha) ipm plot 835"" | 835 kg/ha","outcome","","2026-09-14"
"result_level","5-713819355","""yields 2003 (kg/ha) ipm plot 6930"" | 6930 kg/ha","outcome","","2026-09-14"
"result_level","5-713819355","""yields 2003 (kg/ha) ipm plot 1296"" | 1296 kg/ha","outcome","","2026-09-14"
"result_level","5-713819355","""yields 2003 (kg/ha) ipm plot 1104"" | 1104 kg/ha","outcome","","2026-09-14"
"result_level","5-713819355","""yields 2003 (kg/ha) ipm plot 2781"" | 2781 kg/ha","outcome","","2026-09-14"
"result_level","5-713819355","""the ngala school is provided with the required equipment and operational"" |","output","","2026-09-14"
"result_level","5-713819355","""some farmers produce and sell these products on the local market."" |","outcome","","2026-09-14"
"result_level","5-713819355","there has been a significant uptake in the adoption of these products, particularly among those who participated in the program. |","outcome","","2026-09-14"
"result_level","5-713819355","farmers articulate an improvement in their farming abilities and risk management practices after attending financial education programs. |","outcome","","2026-09-14"
"result_level","5-713819355","the eastern province demonstrates the highest uptake of insurance products among farmers | uptake of insurance products","outcome","","2026-09-14"
"result_level","5-713819355","the southern province follows closely | insurance product uptake","outcome","","2026-09-14"
"result_level","5-713819355","most of farmers in these regions had not subscribed to any form of insurance cover | not subscribed to any form of insurance cover","outcome","","2026-09-14"
"result_level","5-713819355","northern and western provinces have less traction in terms of insurance product uptake | insurance product uptake","outcome","","2026-09-14"
"result_level","5-713819355","national coastal fisheries management plan adopted in december 2020 and partially implemented | 1 eaf demersal fisheries management plan implemented","output","","2026-09-14"
"result_level","5-713819355","fisheries monitoring center built, equipped, and made functional | 1 fisheries monitoring center built and functional","output","","2026-09-14"
"result_level","5-713819355","2,104 vessels registered | 2104 vessels registered","output","","2026-09-14"
"result_level","5-713819355","756 vessels inspected (25.2% of motorized fleet) | 756 vessels inspected","process","","2026-09-14"
"result_level","5-713819355","cold chain chamber constructed and operational | 1 operational fisheries infrastructure","output","","2026-09-14"
"result_level","5-713819355","cold chain chamber constructed and value-chain operators trained | 1 operational fisheries infrastructure","output","","2026-09-14"
"result_level","5-713819355","fish shop constructed and operational | 1 operational fisheries infrastructure","output","","2026-09-14"
"result_level","5-713819355","storage structure constructed and operational | 1 operational fisheries infrastructure","output","","2026-09-14"
"result_level","5-713819355","seasonal fishing closures implemented and regularly monitored |","outcome","","2026-09-14"
"result_level","5-713819355","storage structure with parking area constructed and operational | 1 operational fisheries infrastructure","output","","2026-09-14"
"result_level","5-713819355","2,134 value-chain operators benefited from training and equipment | 2134 value-chain operators trained/benefitted","output","","2026-09-14"
"result_level","5-713819355","three fisheries management plans developed/updated and implemented | 3 fisheries management plans implemented","output","","2026-09-14"
"result_level","5-713819355","695 land patrol days in target area | 695 land patrol days","process","","2026-09-14"
"result_level","5-713819355","297 coastal patrol days in target area | 297 coastal patrol days","process","","2026-09-14"
"result_level","5-713819355","integrated fis (siimaip) established with public dashboard and regularly updated data | 1 fis/dashboard operational","output","","2026-09-14"
"result_level","5-713819355","1,217 recipients supported by matching grants scheme (1,213 individual family applicants; 4 commercial businesses) | 1217 recipients supported","output","","2026-09-14"
"result_level","5-713819355","fish market constructed and operational | 1 fish market operational","output","","2026-09-14"
"result_level","5-713819355","3,449 pcr participants reached in nampula province | 3449 pcr participants","output","","2026-09-14"
"result_level","5-713819355","8,498 pcr participants reached in zambezia province | 8498 pcr participants","output","","2026-09-14"
"result_level","5-713819355","5,599 pcr participants reached in sofala province | 5599 pcr participants","output","","2026-09-14"
"result_level","5-713819355","43 ccps achieved performance targets in sofala bank | 43 ccps achieving performance targets","outcome","","2026-09-14"
"result_level","5-713819355","government agencies' staff trained on relevant subjects (part of 31,068 reported) | 31068 government staff trained (mozambique total)","output","","2026-09-14"
"result_level","5-713819355","seven fisheries management plans consulted, approved and implemented (tanzania total) | 7 fisheries management plans implemented","output","","2026-09-14"
"result_level","5-713819355","5,547 vessels licensed in mainland tanzania | 5547 vessels licensed","output","","2026-09-14"
"result_level","5-713819355","42 percent non-licensed vessels in mainland tanzania (2022) | 42 %","NOT STATED","","2026-09-14"
"result_level","5-713819355","octopus seasonal closures implemented in pangani (and kilwa) districts |","outcome","","2026-09-14"
"result_level","5-713819355","prawn seasonal closure implemented in kibiti |","outcome","","2026-09-14"
"result_level","5-713819355","octopus seasonal closure implemented in kilwa |","outcome","","2026-09-14"
"result_level","5-713819355","bmu office constructed and operational in dunda | 1 bmu office operational","output","","2026-09-14"
"result_level","5-713819355","bmu office constructed and operational in kipumbwi | 1 bmu office operational","output","","2026-09-14"
"result_level","5-713819355","bmu office constructed and operational in saadani | 1 bmu office operational","output","","2026-09-14"
"result_level","5-713819355","bmu office constructed and operational in sudi | 1 bmu office operational","output","","2026-09-14"
"result_level","5-713819355","bmu office constructed and operational in zingibari | 1 bmu office operational","output","","2026-09-14"
"result_level","5-713819355","tafiri wet lab constructed and operational in kunduchi | 1 wet laboratory operational","output","","2026-09-14"
"result_level","5-713819355","staff accommodation constructed and operational | 1 staff accommodation operational","output","","2026-09-14"
"result_level","5-713819355","nungwi fish market rehabilitated and operational | 1 fish market operational","output","","2026-09-14"
"result_level","5-713819355","tumbe fish market rehabilitated and ice plant installed | 1 fish market operational","output","","2026-09-14"
"result_level","5-713819355","cold rooms supplied and commissioned at malindi landing site | 1 cold room operational","output","","2026-09-14"
"result_level","5-713819355","boat slipway at fumba completed and handed over (jan 2022) | 1 boat slipway operational","output","","2026-09-14"
"result_level","5-713819355","ranger surveillance posts/field offices constructed/refurbished and operational | 1 ranger surveillance post operational","output","","2026-09-14"
"result_level","5-713819355","ranger surveillance post/field office refurbished and operational | 1 ranger post operational","output","","2026-09-14"
"result_level","5-713819355","ranger surveillance post/field office constructed/refurbished and operational | 1 ranger post operational","output","","2026-09-14"
"result_level","5-713819355","ranger surveillance post constructed and operational | 1 ranger post operational","output","","2026-09-14"
"result_level","5-713819355","new ranger surveillance post and field office constructed and operational | 1 ranger post operational","output","","2026-09-14"
"result_level","5-713819355","mbef administration building refurbished and equipped | 1 administration building refurbished","output","","2026-09-14"
