"row_id","project_code","project_lead","location","location_names","location_countries","subsector_type","subsector_stated","intervention_stated","rationale_stated","target_beneficiary","result_stated","result_value","result_metric","result_unit","result_level","evidence_stated","evidence_depth","qc_flag"
"175","P006","","","20 pilot villages, Lake Chad Basin, four countries","Cameroon, Chad, Niger, Nigeria","farming system-crop","Use of neem-based botanical insecticides in integrated pest management","Introduction of neem-based botanical insecticide (powder, aqueous extracts and oil); pilot farmers mastered techniques of production, formulation, application and storage","Reduce farmers' dependence on chemical pesticides that are costly and harmful to human health and the environment","subsistence farmer","Use of neem-based botanical insecticide is now common among pilot farmers; nearly 90% of farmers found these products effective against stem borers, defoliating caterpillars and aphids; over 70% of producers find them readily available and inexpensive","90","","% of farmers finding neem-based botanical insecticides effective against major pests","outcome","PCU survey of over 600 farmers in pilot and surrounding villages, December 2004; field visits","2",""
"176","P006","","","Farmer Field Schools in 20 pilot villages, Lake Chad Basin, four countries","Cameroon, Chad, Niger, Nigeria","farming system-crop","Reduction of pest-related crop losses through IPM techniques","Application of IPM techniques against Striga hermonthica attacks on sorghum; use of neem extracts against stem borers; seed treatment with Apron Star 42WS","Striga hermonthica is capable of damaging over 60% of production; pest-related crop losses of up to 50%","subsistence farmer","The project has helped to fight against Striga hermonthica attacks on sorghum; infestation reduced from 60 to 100% in Farmer Field Schools compared to control plots; neem extracts provided effective protection against insects such as stem borers","60-100","","% reduction of Striga hermonthica infestation on sorghum, FFS vs control plots","outcome","Field trials; tracking plot counts per square meter according to site, FFS vs control plots","2",""
"177","P006","","","20 pilot villages, Lake Chad Basin, four countries","Cameroon, Chad, Niger, Nigeria","farming system-crop","Impact on poverty reduction; project particularly geared towards smallholders and subsistence farming","Application of IPM techniques on a standard 2-ha farm based on sorghum (1 ha), cowpea (0.5 ha) and millet (0.5 ha)","Project tested cost-effective technologies adapted to the environment and aimed at reducing pest-related losses","smallholder farmer","Annual income rose from CFAF 146,600 in the pre-project situation to CFAF 408,100 with the project; increase estimated at CFAF 261,500 against CFAF 130,000 forecast at appraisal; valuation of family labour rose from CFAF 586/day to CFAF 1626/day (+177%)","261500","","CFAF increase in annual income per standard 2-ha farm","impact","Standard farm model comparing pre-project and with-project situations; PCR estimates validated by the evaluation","2",""
"178","P006","","","20 pilot villages, Lake Chad Basin, four countries","Cameroon, Chad, Niger, Nigeria","farming system-crop","Economic benefits of IPM application at farm level","Application of IPM techniques substituting imported chemical pesticides with neem extracts and biological control","Chemical pesticides are extremely costly; foreign exchange savings by replacing imported chemicals with IPM method","subsistence farmer","The production value generated with the application of IPM techniques is estimated at CFAF 1 billion; member countries have realized savings of around CFAF 2 billion with the use of neem extracts","1000000000","","CFAF production value generated with application of IPM techniques","impact","Extrapolation of income at the level of budgets of LCBC member states; PCR estimates","2",""
"179","P006","","","Project area, Lake Chad Basin, four countries","Cameroon, Chad, Niger, Nigeria","cross cutting","Training and information; dissemination through simple, pictorial and adapted publications","Production of IPM training manuals and brochures; a guide to IPM menus for each major crop (millet, sorghum, rain-fed cowpea); two posters, one on Striga and one on use of neem powder against stalk borers","To sustain training activities and foster dissemination of IPM techniques","subsistence farmer","IPM guides for technicians and farmers prepared, plus an IPM manual; two posters prepared; documents translated into four languages spoken in the area (Arabic, Fulfulde, Hausa, Kanuri); guides and brochures were not widely circulated due to printer's failure","4","","local languages into which IPM guides, manuals and posters were translated","output","Ex-post evaluation document review","2",""
"180","P006","","","Ngala (LCBC Regional Agricultural Training School), Nigeria","Nigeria","cross cutting","Capacity building for LCBC in training, through the LCBC Regional Agricultural Training School in Ngala, Nigeria","Enhancing the capacity of the LCBC Regional School in Ngala by providing equipment, teaching materials and training courses on IPM technological packages; seminar on integrated pest management organized for students","Strengthen the Ngala Regional School to support member countries in enhancing their pest management capacity in subsistence farming","","The Ngala Regional School equipped with the required materials (operational); it has also benefited from training in IPM; capacity building activities implemented: 70 students","70","","students trained at the Ngala Regional School","output","Ex-post evaluation document review; retrospective logical framework matrix","2",""
"181","P006","","","Shehuri and Abbar villages, Nigeria","Nigeria","agri-food","Production and marketing of neem-based products as a source of income for farmers","Use of neem-based products introduced by the project; production, formulation, application and storage techniques mastered by pilot farmers","The use of neem-based products opened new opportunities for farmers; neem production can generate income for farmers planning to engage in this activity","subsistence farmer","In the villages of Shehuri and Abbar in Nigeria, some farmers produce and sell these products on the local market","","","","outcome","Ex-post evaluation field visits, October 2009","2",""
"182","P006","","","Mandjafa pilot village, Chad","Chad","farming system-crop","Full-scale implementation of IPM techniques in farmers' fields, notably organic manure and chemical fertilizers","IPM techniques demonstrated on 900 m2 (30x30) demonstration plots; use of inputs (organic manure, chemical fertilizers) in pilot farmers' fields","Due to lack of sufficient resources, farmers make limited use of inputs; one hectare requires at least CFAF 82,500 of manure, excluding transportation costs","subsistence farmer","Farmers have developed an original strategy, which is to allow the Arab shepherds in transhumance to pen animals in their fields in exchange for two kilogrammes of sugar","","","","outcome","Ex-post evaluation field visits and beneficiary interviews, October 2009","2",""
"183","P006","","","Klessum pilot village, Chad","Chad","farming system-crop","Use of neem extracts for crop protection under IPM","IPM training and use of neem extracts introduced in the pilot village through Farmer Field Schools and village brigades","Neem is a non-chemical, environmentally-friendly and cost-effective alternative to synthetic pesticides","subsistence farmer","Farmers of Mandjafa and Klessum believe that neem is less effective than chemical insecticides, even though they acknowledge the adverse effects on humans and the environment; they all agreed they derive much benefit from using neem in crop protection, production and income","","","","outcome","Ex-post evaluation interviews with beneficiaries in 13 villages visited, October 2009","2",""
"184","P007","","","Rwanda","Rwanda","cross cutting","Crop insurance as a risk management tool; tailored agricultural insurance products including Area Yield Index, Weather Index and Livestock mortality cover","ACRE Rwanda designing and distributing tailored agricultural insurance products since 2014; upscaling intervention from 2019 to improve existing insurance products under the National Agriculture Insurance Scheme (NAIS)","Farming is fraught with unpredictability due to pests, diseases, and adverse weather; crop insurance emerges as a critical risk management tool, protecting farmers against economic losses and providing a financial safety net","smallholder farmer","There has been a significant uptake in the adoption of these products, particularly among those who participated in the program; higher rate of engagement and adoption","","","","outcome","Qualitative impact assessment by independent consultants for SCBF; four focus group discussions with 33 smallholder farmers (23 women, 10 men)","2",""
"185","P007","","","Rwamagana and Ngoma districts (Kohunya and Imberutso za Karembo Cooperatives)","Rwanda","cross cutting","Financial education around insurance and other financial concepts for farmers","Financial Education (FE) program: insurance product training and financial education delivered through ToTs and cooperative meetings, with gender-sensitive measures, to increase uptake of insurance products among Rwandan farmers","The main barriers hindering the uptake and use of financial services are affordability and lack of awareness; financial education has transformative potential in increasing the uptake of insurance products among Rwandan farmers","smallholder farmer","A substantial 85.7% of farmers attended 1 to 5 financial education programs in the past year, with a strong consensus (71.4%) agreeing that such training significantly improves their understanding of financial products and services","85.7","","% of farmers attending financial education programs","output","Four focus group discussions engaging 33 smallholder farmers (23 women, 10 men), aged 23-69, from Rwamagana and Ngoma districts; qualitative analysis by independent consultants","2",""
"186","P008","","","Rwanda (national)","Rwanda","farming system-crop","maize crop insurance","Kilimo Salama Project pilot season (October 2012 to March 2013) focused predominantly on maize crop insurance, funded by SFSA, Access to Finance Rwanda and MINAGRI.","The project sought to evaluate the feasibility of offering crop and livestock insurance products tailored to Rwanda's unique agricultural ecosystem.","smallholder farmer","In its pilot season from October 2012 to March 2013, the Kilimo Salama Project focused predominantly on maize crop insurance and was able to onboard 20,000 farmers.","20000","","farmers onboarded","output","Project background narrative in the impact assessment report citing historical programme records","2",""
"187","P008","","","Rwanda (national)","Rwanda","farming system-mixed","crop and livestock insurance products","Kilimo Salama Project sale of agricultural insurance, evolving from maize crop insurance to introduce livestock insurance in 2014.","Evaluate the feasibility of offering crop and livestock insurance products tailored to Rwanda's unique agricultural ecosystem.","smallholder farmer","Despite setbacks due to basis risk in subsequent years in some ecological zones, the project sold more than 120,000 policies over a period of four years.","120000","","insurance policies sold (more than)","output","Project background narrative in the impact assessment report citing historical programme records","2","activity deliverable - check result_level is process or output"
"188","P008","","","Rwanda (national; emphasis on Northern, Southern, Eastern, Western Provinces and Kigali City)","Rwanda","cross cutting","agricultural insurance and financial literacy","2019 ACRE Africa initiative funded by SCBF to upscale existing insurance products and launch financial literacy campaigns, adopting a blended approach.","Aiming to offer an invaluable safety net to smallholder farmers and address the financial literacy gap in the agricultural value chain.","smallholder farmer","","","","","","","1",""
"189","P008","","","Rwanda (national)","Rwanda","cross cutting","training sessions related to crop insurance, weather, and climate information","Training sessions for smallholder farmers on crop insurance, weather and climate information, delivered through outreach initiatives since 2019.","Outreach initiatives targeted at smallholder farmers contributing to increased awareness and potentially greater adoption of insurance products.","smallholder farmer","Reported attendance figures for smallholder farmers in training sessions overwhelmingly indicating participation of over 10,000 individuals in such programs.","10000","","individuals participating in training (over)","output","Key informant interviews with 15 stakeholder institutions via structured questionnaire 'Impact assessment KII_ACRESCBF' (purposive sampling); attendance figures as reported by respondents","2",""
"190","P008","","","Rwanda (national)","Rwanda","cross cutting","training sessions related to crop insurance, weather, and climate information","Capacity building, training and technical support provided to industry professionals and stakeholders in the agriculture insurance sector since 2019.","To gauge how these sessions might have contributed to the acceptance and adoption of agricultural insurance products.","","","","","","","KII questionnaire of 15 respondents; respondent shares of training attendance (40% none, 40% one to five sessions, 13% more than eleven) are survey-sample percentages, not beneficiary counts","1",""
"191","P008","","","Rwanda (national)","Rwanda","farming system-mixed","agricultural insurance products","Sale of agricultural insurance policies to smallholder farmers since the program's inception in 2019 (company reported by one KII respondent).","The reach of agricultural insurance products presents a stark contrast among providers.","smallholder farmer","A single respondent reported that their company sold fewer than 5,000 policies to smallholder farmers since the program's inception in 2019.","5000","","policies sold to smallholder farmers (fewer than; one company)","output","Key informant interviews with 15 stakeholder institutions via structured questionnaire 'Impact assessment KII_ACRESCBF'; self-reported company sales","2",""
"192","P008","","","Rwanda (national)","Rwanda","farming system-mixed","agricultural insurance products","Sale of agricultural insurance policies to smallholder farmers since the program's inception in 2019 (companies reported by two KII respondents).","Some companies have been remarkably successful in reaching a broad swath of the smallholder farming community.","smallholder farmer","Two respondents indicated that their companies sold over 20,001 policies during the same period (since the program's inception in 2019).","20001","","policies sold (over; each of two companies)","output","Key informant interviews with 15 stakeholder institutions via structured questionnaire 'Impact assessment KII_ACRESCBF'; self-reported company sales","2","activity deliverable - check result_level is process or output"
"193","P008","","","Rwanda (national)","Rwanda","farming system-crop","Area Yield Index insurance","Area Yield Index product compensating insured farmers if the actual yield of a specified crop in a defined area falls below a predetermined threshold; government-run, using crop cut to assess yield shortfalls.","Its popularity underscores the volatility of yields and the inherent risks of farming in certain regions.","smallholder farmer","","","","","","KII responses on products offered (response shares are respondent proportions, not adoption figures)","1",""
"194","P008","","","Rwanda (national)","Rwanda","farming system-crop","Weather Index insurance","Weather Index product protecting farmers against deviations from established weather benchmarks which could adversely affect crop output.","Its adoption indicates the significant role that unpredictable weather patterns play in farming activities, particularly in the face of global climate change.","smallholder farmer","","","","","","KII responses on products offered (response shares are respondent proportions, not adoption figures)","1",""
"195","P008","","","Rwanda (national)","Rwanda","farming system-livestock","Livestock Mortality Cover","Livestock Mortality Cover protecting farmers against unexpected livestock deaths.","Protecting against unexpected livestock deaths is of paramount concern for many farmers, emphasizing the role livestock plays in their livelihood.","smallholder farmer","","","","","","KII responses on products offered (response shares are respondent proportions, not adoption figures)","1",""
"196","P008","","","Eastern Province","Rwanda","farming system-mixed","insurance products","Agricultural insurance products marketed to farmers in the Eastern Province.","The region has a semi-dry climate and lower altitude, making it more prone to climatic adversities and crop production risks, suggesting greater receptivity to risk mitigation initiatives.","smallholder farmer","The Eastern Province demonstrates the highest uptake of insurance products among farmers.","","","","outcome","Key informant interviews with 15 stakeholder institutions; geographic distribution of uptake as reported by respondents","2",""
"197","P008","","","Southern Province","Rwanda","farming system-mixed","insurance products","Agricultural insurance products marketed to farmers in the Southern Province.","Shares some biophysical attributes with the Eastern Province, such as lower altitude and greater risks for crop production.","smallholder farmer","The Southern Province follows closely (gaining momentum in insurance uptake).","","","","outcome","Key informant interviews with 15 stakeholder institutions; geographic distribution of uptake as reported by respondents","2",""
"198","P008","","","Northern Province; Western Province","Rwanda","farming system-mixed","insurance products; insurance cover","Agricultural insurance products marketed in the Northern and Western Provinces, with sustained effort being deployed to reverse low subscription following catastrophic floods and landslides.","These regions may be seeing lower interest because they are less prone to drought and crop failures due to their cooler and wet climates; targeted strategic interventions in these areas are crucial.","smallholder farmer","Northern and Western Provinces have less traction in terms of insurance product uptake; most of farmers in these regions had not subscribed to any form of insurance cover.","","","","outcome","Key informant interviews with 15 stakeholder institutions; geographic distribution of uptake as reported by respondents","2",""
"199","P008","","","Rwanda (national)","Rwanda","farming system-crop","value chains like rice farming","Agricultural insurance as a risk mitigation tool applied in crop value chains, particularly rice farming.","The power of insurance as a risk mitigation tool, particularly evident during disasters such as the recent catastrophic floods and landslides.","smallholder farmer","In over all, the major benefit has been especially impactful in value chains like rice farming, saving partners from losses.","","","","impact","Key informant interviews with 15 stakeholder institutions; qualitative lessons-learned responses","2",""
"200","P009","","","South West Indian Ocean region (SWIOFC member countries)","Regional (SWIO)","farming system-fish","Management effectiveness of selected priority fisheries at regional level; tuna and tuna-like fisheries","Enhanced regional collaboration: regional Minimum Terms and Conditions for access to tuna fishery, joint fisheries MCS activities, regional tuna strategy, SWIOFC sustainable financing mechanism, and technical advice and studies informing fisheries agreements","An estimated 28 percent of regional fish stocks overexploited or depleted; annual economic rent loss of US$225 million; regional cooperation seen as key given the shared marine ecosystem","","Eleven bilateral fisheries agreements signed by SWIOFC member countries (target six); MTC guidelines for foreign fisheries access adopted 2018; regional financing mechanism agreed 2019; eight joint tuna resolutions adopted by IOTC","11","","bilateral fisheries agreements signed","outcome","Results framework indicator monitoring; IOC completion report","2",""
"201","P009","","","Comoros (national; Anjouan, Grande Comore, Moheli islands)","Comoros","farming system-fish","Demersal and pelagic coastal fisheries; priority fisheries: tuna, demersal fisheries, lobster, sea cucumber","Evaluation and expansion of 2013 Demersal Fisheries Management Plan into a National Coastal Fisheries Management Plan; vessel registration system design, computerized registration database, registration campaigns in the three islands, construction of a fisheries monitoring center","Most coastal fisheries under heavy pressure; weak legal and institutional framework, human capacity, and infrastructure resulted in deficient management of small-scale fisheries","artisanal fisher","National Coastal Fisheries Management Plan adopted December 2020, partially implemented: 2,104 of 3,000 vessels registered (67 percent), 19 vessels licensed in 2021; fisheries monitoring center built, equipped, and made functional","2104","","vessels registered (of 3,000)","outcome","PDO-level results framework indicator; borrower completion report","2","infrastructure deliverable - check result_level is output"
"202","P009","","","Comoros (national)","Comoros","farming system-fish","Control of fishing activity; monitoring, control, and surveillance (MCS)","Reinforcement of inspectors' capacity through training, purchase of inspector cars, participation in regional patrols; construction of Fisheries Monitoring Center building; maintenance of vessel monitoring system; cooperation agreements with Coast Guard","Weak monitoring of offshore tuna fisheries; deficient management of small-scale fisheries","","756 of 3,000 motorized vessels inspected (25.2 percent) at closing through land and sea patrols, more than twice the 10 percent target","756","","motorized vessels inspected (25.2 percent of fleet)","output","Intermediate results indicator monitoring","2",""
"203","P009","","","Comoros (national)","Comoros","farming system-fish","Policy and legal instruments for fishery management","Development or updating of policy and legal instruments: revision of the 2007 Fisheries Law and preparation of implementation texts, decrees, and ministerial orders on institutional arrangements, MCS, fisheries management, fish quality and hygiene","Weak legal and institutional framework for fisheries; weak governance limited domestic and foreign investment","","The 2007 Fisheries Law revised and promulgated by the President in April 2020; 18 implementation texts, decrees, and ministerial orders adopted","18","","legal implementation texts adopted","output","Intermediate results indicator monitoring; review of instruments","2",""
"204","P009","","","Comoros (national; DGRH)","Comoros","farming system-fish","National fisheries information system and public dashboard","Development of a Fisheries Information System at DGRH with modern statistical data collection using Open Data Kit Interface, replacing paper forms; staff participation in FAO course on sample-based statistics; data collection campaigns","Knowledge of the environmental, social, and economic state of the fisheries was deficient and capability for applied fisheries research was low","","FIS developed with data routinely collected in various zones and a public dashboard on the DGRH website updated annually until 2021; dashboard lacked updated 2021 data (target not met)","1","","fisheries information system developed","output","Intermediate results indicator monitoring","2",""
"205","P009","","","15 villages in Anjouan, Grande Comore, and Moheli islands, Comoros","Comoros","farming system-fish","Community-level fisheries co-management","Establishment and strengthening of fisheries co-management units; community facilitators, island coordinators, community meetings, training on management measures, fish aggregating devices, octopus pots, lobster traps, learning exchanges between communities","Small-scale and subsistence fisheries were an economic backbone of rural coastal communities, often poor, marginalized, and highly exposed to climate change","community","Six CMUs composed of fishing community members from 15 villages achieved two of four performance targets: updated co-management agreements signed with the fisheries administration, and regular meetings held at least twice a year","6","","co-management units achieving at least 2 performance targets","outcome","PDO-level results framework indicator; borrower completion report","2",""
"206","P009","","","Ndrondroni, Ouallah, Hantsindzi, Ndroude, Hajoho, and Sadampoini villages, Comoros","Comoros","farming system-fish","Community management measures of the national Demersal Fisheries Management Plan","Implementation by CMUs of community management measures including seasonal fishing closures with participatory closure monitoring, and new fishing techniques such as low-cost fish aggregating devices, octopus pots, and lobster traps","Coastal fisheries under heavy pressure; seasonal closures and fish aggregating devices effective in increasing harvests","community","First seasonal fishing closures carried out in Ndrondroni, Ouallah, Hantsindzi, Ndroude, Hajoho, and Sadampoini","6","","villages with first seasonal fishing closures implemented","output","Borrower completion report; World Bank reports","2",""
"207","P009","","","Comoros (three islands)","Comoros","agri-food","Local fisheries value chains; business and value chain development","Business planning, packaging, and marketing training; training on good hygiene practices and proper use of sanitary kits; provision of fish conservation and sale equipment","Weak governance and a poor investment climate limited investment, constraining the sector's growth","producer","2,134 value-chain operators trained (target 600): 244 in business planning, packaging, marketing; 1,890 in hygiene and sanitary kit use; additionally 600 people received fish conservation and sale equipment","2134","","value-chain operators trained","output","Intermediate results indicator monitoring; additional information from DGRH","2",""
"208","P009","","","Comoros (Anjouan, Grande Comore, Moheli islands and multiple sites)","Comoros","agri-food","Operational fisheries infrastructure; cold chain and post-harvest facilities","Financing of 18 fisheries infrastructures in the three islands plus ice silos in several sites: cold chain chambers with cold stores or ice machines, a fish shop, and storage structures","Limited or underperforming infrastructure and services constrained private sector development; government priority to develop fisheries infrastructures in coastal areas","cooperative","13 fisheries infrastructure investments operational (target 14): seven cold chain chambers, one fish shop, and five storage structures","13","","operational fisheries infrastructures","output","Intermediate results indicator monitoring","2",""
"209","P009","","","Chindini, Foumbouni, Moroni-Hankounou, Ntsaoueni, and Male, Grande Comore island, Comoros","Comoros","agri-food","Cold chain and post-harvest fisheries infrastructure","Construction of cold chain chambers equipped with cold stores or ice machines, a fish shop, and a storage structure","Development of fisheries infrastructures in coastal areas to support value chains and reduce post-harvest losses","cooperative","Three cold chain chambers operational in Chindini, Foumbouni, and Moroni-Hankounou; a fish shop in Ntsaoueni; and a storage structure in Male","5","","operational fisheries infrastructures","output","Intermediate results indicator monitoring","2",""
"210","P009","","","Domoni, Mutsamudu, Sadampoini, Sima, and Bimini, Anjouan island, Comoros","Comoros","agri-food","Cold chain and post-harvest fisheries infrastructure","Construction of cold chain chambers equipped with cold stores or ice machines and a storage structure","Development of fisheries infrastructures in coastal areas to support value chains and reduce post-harvest losses","cooperative","Four cold chain chambers operational in Domoni, Mutsamudu, Sadampoini, and Sima; one storage structure operational in Bimini","5","","operational fisheries infrastructures","output","Intermediate results indicator monitoring","2",""
"211","P009","","","Hamavouna, Ndrondroni, and Wallah II, Moheli island, Comoros","Comoros","agri-food","Post-harvest fisheries infrastructure; storage structures","Construction of storage structures for fishers, one also featuring a parking area","Development of fisheries infrastructures in coastal areas to support value chains and reduce post-harvest losses","cooperative","Three storage structures operational in Hamavouna, Ndrondroni, and Wallah II","3","","operational fisheries infrastructures","output","Intermediate results indicator monitoring","2",""
"212","P009","","","Comoros (fishing grounds with access restrictions under co-management agreements)","Comoros","farming system-mixed","Alternative livelihoods: agriculture activities, livestock production activities, and commercialization of fisheries products","Resource Access Restriction Action Plan: alternative livelihood activities identified jointly with affected local communities and supported in 2021","Expected access restrictions and loss of livelihoods in some fishing grounds as part of co-management agreements","vulnerable population","Alternative livelihood activities supported in 2021 for the benefit of 176 people, including agriculture activities, livestock production activities, and commercialization of fisheries products","176","","people receiving alternative livelihood support","output","Safeguards compliance monitoring under the Resource Access Restriction Action Plan","2",""
"213","P009","","","Mozambique (national; Sofala Bank priority fisheries)","Mozambique","farming system-fish","Priority fisheries: shrimp, demersal fisheries, deep-water crustaceans, tuna, small pelagic fisheries","Development of a Deep Sea Crustaceans Management Plan (2021-2025) and updating of the 2014-2018 Sofala Coastal Shrimp and Demersal Fisheries Management Plans; consultancies, stock assessments, licensing information system strengthening, enforcement patrols","Fisheries sector constrained by weak management of shallow-water shrimp fisheries; the artisanal fleet had sharply increased, risking overexploitation","","Three management plans approved and implemented; 2022 licensing within quotas based on stock assessments: 34 coastal shrimp licenses (quota 39), 23 deep-sea crustacean licenses (quota 27), zero demersal line licenses (quota four)","3","","fisheries management plans implemented","outcome","PDO-level results framework indicator; ADNAP 2022 report","2",""
"214","P009","","","Sofala Bank target areas (coastal districts of Nampula, Sofala, Zambezia provinces), Mozambique","Mozambique","farming system-fish","Control of fishing activity; monitoring, control, and surveillance","MCS strategic study for industrial, semi-industrial, and artisanal fisheries; updating the National Action Plan for IUU Fishing Prevention; surveillance costs; land and coastal patrols; MCS staff training","Artisanal fleet sharply increased, risking overexploitation; illegal fishing undermined priority fisheries","","Over 4,500 illegal fishing gear destroyed over the project; 1,400 fishing gear items destroyed in 2020 versus 111 in 2021; patrol targets in Sofala bank exceeded","4500","","illegal fishing gear destroyed","output","Intermediate results indicator monitoring; borrower completion report","2",""
"215","P009","","","Mozambique (national)","Mozambique","farming system-fish","Policy and legal instruments for fishery and marine management","Development or updating of policies, strategies, laws and regulations, including the National Aquaculture Development Strategy, Fisheries Master Plan review, Policy and Strategy of the Sea, and a Maritime Spatial Planning Plan","Government priority to prepare a national marine spatial plan, restructure the licensing system, and strengthen the MCS system","","Approved: 2020-2030 National Aquaculture Development Strategy; Fisheries Master Plan update (2019); Policy and Strategy of the Sea (2018); Maritime Spatial Planning Plan (November 2021); updated Maritime Fisheries Regulation; revised Law of the Sea; Mangrove Management Strategy; Fisheries Products Quality Control Regulation","10","","policy and legal instruments approved","output","Intermediate results indicator monitoring; review of instruments","2",""
"216","P009","","","Mozambique (national; MIMAIP/ADNAP)","Mozambique","farming system-fish","Fisheries information system and public dashboard","Establishment of an integrated Fisheries Information System (SIIMAIP) with a public dashboard; consulting firm, data collection campaigns and equipment, update of the Statistics Master Plan","Need to track the sector's performance; enhance sector transparency, as licensing information had not been publicly accessible before","","Integrated FIS (SIIMAIP) with public dashboard established and regularly updated; SIMAPE fishing activity monitoring system with public licensing databases developed","1","","integrated fisheries information system operational","output","Intermediate results indicator monitoring; information from MIMAIP","2",""
"217","P009","","","Sofala Bank (Nampula, Sofala, and Zambezia provinces), Mozambique","Mozambique","farming system-fish","Community-level fisheries co-management (Community Fishing Councils, CCPs)","Support to CCPs: studies on CCP sustainability, training, development of new standard statutes, updating of legal frameworks, demarcation of CCPs' fishing right areas, and licensing campaigns","Improve the management effectiveness of selected priority fisheries at community level; artisanal fleet increase risked overexploitation","community","43 of 62 supported CCPs achieved three of four performance targets (target 30): signed co-management agreements with their districts, regularly participated in District Co-Management Committee meetings, and held bi-weekly meetings","43","","CCPs achieving at least 2 performance targets","outcome","PDO-level results framework indicator; borrower completion report","2",""
"218","P009","","","Nampula Province (Sofala Bank coastal districts), Mozambique","Mozambique","farming system-fish","Community-level fisheries co-management (CCPs)","Support to Community Fishing Councils: training, standard statutes, legal framework updates, fishing right area demarcation, licensing campaigns","Improve the management effectiveness of selected priority fisheries at community level","community","18 CCPs in Nampula Province achieved three of the four performance targets","18","","CCPs achieving performance targets","outcome","Results framework indicator; borrower completion report","2",""
"219","P009","","","Sofala Province (Sofala Bank coastal districts), Mozambique","Mozambique","farming system-fish","Community-level fisheries co-management (CCPs)","Support to Community Fishing Councils: training, standard statutes, legal framework updates, fishing right area demarcation, licensing campaigns","Improve the management effectiveness of selected priority fisheries at community level","community","Five CCPs in Sofala Province achieved three of the four performance targets","5","","CCPs achieving performance targets","outcome","Results framework indicator; borrower completion report","2",""
"220","P009","","","Zambezia Province (Sofala Bank coastal districts), Mozambique","Mozambique","farming system-fish","Community-level fisheries co-management (CCPs)","Support to Community Fishing Councils: training, standard statutes, legal framework updates, fishing right area demarcation, licensing campaigns","Improve the management effectiveness of selected priority fisheries at community level","community","20 CCPs in Zambezia Province achieved three of the four performance targets","20","","CCPs achieving performance targets","outcome","Results framework indicator; borrower completion report","2",""
"221","P009","","","Nampula, Sofala, and Zambezia provinces, Mozambique","Mozambique","cross cutting","Local financing schemes: Rotating Saving and Credit Scheme (PCR) for fishing communities","Establishment of new and revitalization of existing PCR Associations serving as small banking systems, jointly saving members' contributions and lending with interest; service providers recruited","Poor access to investment capital and credit resulted in low private sector investment; develop local financing schemes for value-chain operators","community","17,546 fishing community members reached (52 percent female; target 3,000); after cycles of roughly 20 months, interest distributed to shareholders was used for house upgrading, school expenses, and boat motor repair","17546","","PCR participants","output","Intermediate results indicator monitoring; PCR completion reports","2","infrastructure deliverable - check result_level is output"
"222","P009","","","Angoche, Larde, Liupo, Mogincual, and Moma districts, Nampula Province, Mozambique","Mozambique","cross cutting","Rotating Saving and Credit Scheme (PCR)","Establishment of new and revitalization of existing PCR Associations in Nampula Province districts","Poor access to investment capital and credit in fishing communities","community","3,449 PCR participants in Angoche, Larde, Liupo, Mogincual, and Moma districts, 56 percent female","3449","","PCR participants","output","Intermediate results indicator monitoring; PCR completion reports","2",""
"223","P009","","","Beira, Buzi, Dondo, Muanza, and Muchange districts, Sofala Province, Mozambique","Mozambique","cross cutting","Rotating Saving and Credit Scheme (PCR)","Establishment of new and revitalization of existing PCR Associations in Sofala Province districts","Poor access to investment capital and credit in fishing communities","community","5,599 PCR participants in Beira, Buzi, Dondo, Muanza, and Muchange districts, 58 percent female","5599","","PCR participants","output","Intermediate results indicator monitoring; PCR completion reports","2",""
"224","P009","","","Chinde, Inhassunge, Mucubela, Maganja da Costa, Namacurra, Pebane, and Quelimane districts, Zambezia Province, Mozambique","Mozambique","cross cutting","Rotating Saving and Credit Scheme (PCR)","Establishment of new and revitalization of existing PCR Associations in Zambezia Province districts","Poor access to investment capital and credit in fishing communities","community","8,498 PCR participants in Chinde, Inhassunge, Mucubela, Maganja da Costa, Namacurra, Pebane, and Quelimane districts, 46 percent female","8498","","PCR participants","output","Intermediate results indicator monitoring; PCR completion reports","2",""
"225","P009","","","Nampula, Sofala, and Zambezia provinces, Mozambique","Mozambique","agri-food","Fisheries and aquaculture value chains; Matching Grants Scheme (Mais Peixe Sustentavel)","Matching grants for transport means, fishing gear replacement, post-harvest loss reduction assets, and aquaculture income-generating assets; value chain analyses, socioeconomic studies, MPS design, and training on sustainable management of marine resources","Unattractive business climate, including poor access to investment capital and credit, resulted in low private sector investment and underdeveloped aquaculture and value chains","household","1,217 recipients supported (target 405): 1,213 individual family applicants received MZN114,770,366; four commercial enterprises received MZN44,283,028; 239 community members and interns trained on aquaculture equipment use","1217","","matching grant recipients","output","Intermediate results indicator monitoring; ProAzul Program Closing Report","2",""
"226","P009","","","Nampula Province, Mozambique","Mozambique","agri-food","Matching Grants Scheme (MPS) for fisheries and aquaculture value chains","MPS Window 1 grants to individual family applicants and Window 2 grants to commercial enterprises for aquaculture development assets","Poor access to investment capital and credit; underdeveloped aquaculture and value chains","household","299 individual family applicants and two commercial enterprises in Nampula Province received matching grants","299","","individual family grant recipients","output","Intermediate results indicator monitoring; ProAzul Program Closing Report","2",""
